,precision,recall,f1-score,support,y_variable,model
-1.0,0.33460076045627374,0.10196987253765932,0.15630550621669625,863.0,ps_Entry/Exit_sma,Naive Bayes
0.0,0.4604486422668241,0.43968432919954903,0.44982698961937717,887.0,ps_Entry/Exit_sma,Naive Bayes
1.0,0.4119154388212684,0.6981541802388708,0.5181305398871877,921.0,ps_Entry/Exit_sma,Naive Bayes
accuracy,0.41969299887682515,0.41969299887682515,0.41969299887682515,0.41969299887682515,ps_Entry/Exit_sma,Naive Bayes
macro avg,0.4023216138481221,0.4132694606586931,0.3747543452410871,2671.0,ps_Entry/Exit_sma,Naive Bayes
weighted avg,0.4030522355368122,0.41969299887682515,0.37854227588674516,2671.0,ps_Entry/Exit_sma,Naive Bayes
-1.0,1.0,1.0,1.0,863.0,ps_Entry/Exit_sma,Random Forest Classifier
0.0,1.0,1.0,1.0,887.0,ps_Entry/Exit_sma,Random Forest Classifier
1.0,1.0,1.0,1.0,921.0,ps_Entry/Exit_sma,Random Forest Classifier
accuracy,1.0,1.0,1.0,1.0,ps_Entry/Exit_sma,Random Forest Classifier
macro avg,1.0,1.0,1.0,2671.0,ps_Entry/Exit_sma,Random Forest Classifier
weighted avg,1.0,1.0,1.0,2671.0,ps_Entry/Exit_sma,Random Forest Classifier
-1.0,0.5227272727272727,0.10660486674391657,0.17709335899903755,863.0,ps_Entry/Exit_sma,Logistic Regression
0.0,0.4139378673383711,0.5558060879368658,0.47449470644850816,887.0,ps_Entry/Exit_sma,Logistic Regression
1.0,0.4072085889570552,0.5765472312703583,0.4773033707865169,921.0,ps_Entry/Exit_sma,Logistic Regression
accuracy,0.4178210408086859,0.4178210408086859,0.4178210408086859,0.4178210408086859,ps_Entry/Exit_sma,Logistic Regression
macro avg,0.447957909674233,0.41298606198371357,0.3762971454113542,2671.0,ps_Entry/Exit_sma,Logistic Regression
weighted avg,0.4467673662007561,0.4178210408086859,0.37937281090616926,2671.0,ps_Entry/Exit_sma,Logistic Regression
-1.0,0.37318840579710144,0.3373362445414847,0.3543577981651376,916.0,ps_Entry/Exit_ema,Naive Bayes
0.0,0.5096952908587258,0.41394825646794153,0.45685909373060213,889.0,ps_Entry/Exit_ema,Naive Bayes
1.0,0.3843478260869565,0.49385474860335193,0.4322738386308068,895.0,ps_Entry/Exit_ema,Naive Bayes
accuracy,0.41444444444444445,0.41444444444444445,0.41444444444444445,0.41444444444444445,ps_Entry/Exit_ema,Naive Bayes
macro avg,0.4224105075809279,0.4150464165375927,0.41449691017551554,2700.0,ps_Entry/Exit_ema,Naive Bayes
weighted avg,0.42183370282643634,0.41444444444444445,0.41393502334086796,2700.0,ps_Entry/Exit_ema,Naive Bayes
-1.0,1.0,1.0,1.0,916.0,ps_Entry/Exit_ema,Random Forest Classifier
0.0,1.0,1.0,1.0,889.0,ps_Entry/Exit_ema,Random Forest Classifier
1.0,1.0,1.0,1.0,895.0,ps_Entry/Exit_ema,Random Forest Classifier
accuracy,1.0,1.0,1.0,1.0,ps_Entry/Exit_ema,Random Forest Classifier
macro avg,1.0,1.0,1.0,2700.0,ps_Entry/Exit_ema,Random Forest Classifier
weighted avg,1.0,1.0,1.0,2700.0,ps_Entry/Exit_ema,Random Forest Classifier
-1.0,0.36179981634527086,0.43013100436681223,0.39301745635910224,916.0,ps_Entry/Exit_ema,Logistic Regression
0.0,0.36585365853658536,0.23622047244094488,0.28708133971291866,889.0,ps_Entry/Exit_ema,Logistic Regression
1.0,0.2970106075216972,0.34413407821229053,0.31884057971014496,895.0,ps_Entry/Exit_ema,Logistic Regression
accuracy,0.3377777777777778,0.3377777777777778,0.3377777777777778,0.3377777777777778,ps_Entry/Exit_ema,Logistic Regression
macro avg,0.3415546941345178,0.33682851834001587,0.33297979192738864,2700.0,ps_Entry/Exit_ema,Logistic Regression
weighted avg,0.34165815849748576,0.3377777777777778,0.33354874810011187,2700.0,ps_Entry/Exit_ema,Logistic Regression
-1.0,0.4584221748400853,0.2556480380499406,0.32824427480916035,841.0,pfcf_Entry/Exit_sma,Naive Bayes
0.0,0.46870653685674546,0.38165345413363533,0.4207240948813983,883.0,pfcf_Entry/Exit_sma,Naive Bayes
1.0,0.4334733893557423,0.6939461883408071,0.5336206896551724,892.0,pfcf_Entry/Exit_sma,Naive Bayes
accuracy,0.44762996941896027,0.44762996941896027,0.44762996941896027,0.44762996941896027,pfcf_Entry/Exit_sma,Naive Bayes
macro avg,0.45353403368419104,0.44374922684146095,0.4275296864485771,2616.0,pfcf_Entry/Exit_sma,Naive Bayes
weighted avg,0.45338653837551224,0.44762996941896027,0.4294887102703335,2616.0,pfcf_Entry/Exit_sma,Naive Bayes
-1.0,1.0,1.0,1.0,841.0,pfcf_Entry/Exit_sma,Random Forest Classifier
0.0,1.0,1.0,1.0,883.0,pfcf_Entry/Exit_sma,Random Forest Classifier
1.0,1.0,1.0,1.0,892.0,pfcf_Entry/Exit_sma,Random Forest Classifier
