,precision,recall,f1-score,support,y_variable,model
-1.0,0.5867507886435331,0.4043478260869565,0.47876447876447875,920.0,ps_Entry/Exit_sma,Naive Bayes
0.0,0.5654205607476636,0.2768878718535469,0.37173579109062976,874.0,ps_Entry/Exit_sma,Naive Bayes
1.0,0.49878048780487805,0.9008810572687225,0.6420722135007849,908.0,ps_Entry/Exit_sma,Naive Bayes
accuracy,0.5299777942264989,0.5299777942264989,0.5299777942264989,0.5299777942264989,ps_Entry/Exit_sma,Naive Bayes
macro avg,0.5503172790653582,0.5273722517364087,0.4975241611186312,2702.0,ps_Entry/Exit_sma,Naive Bayes
weighted avg,0.5502890372214426,0.5299777942264989,0.4990236756977215,2702.0,ps_Entry/Exit_sma,Naive Bayes
-1.0,0.998914223669924,1.0,0.9994568169473113,920.0,ps_Entry/Exit_sma,Random Forest Classifier
0.0,1.0,0.9988558352402745,0.9994275901545506,874.0,ps_Entry/Exit_sma,Random Forest Classifier
1.0,1.0,1.0,1.0,908.0,ps_Entry/Exit_sma,Random Forest Classifier
accuracy,0.9996299037749815,0.9996299037749815,0.9996299037749815,0.9996299037749815,ps_Entry/Exit_sma,Random Forest Classifier
macro avg,0.9996380745566413,0.9996186117467581,0.9996281357006206,2702.0,ps_Entry/Exit_sma,Random Forest Classifier
weighted avg,0.9996303056167024,0.9996299037749815,0.9996298983666188,2702.0,ps_Entry/Exit_sma,Random Forest Classifier
-1.0,0.41845878136200715,0.5076086956521739,0.4587426326129666,920.0,ps_Entry/Exit_sma,Logistic Regression
0.0,0.42857142857142855,0.07551487414187644,0.12840466926070038,874.0,ps_Entry/Exit_sma,Logistic Regression
1.0,0.38337988826815644,0.6046255506607929,0.4692307692307692,908.0,ps_Entry/Exit_sma,Logistic Regression
accuracy,0.40044411547002223,0.40044411547002223,0.40044411547002223,0.40044411547002223,ps_Entry/Exit_sma,Logistic Regression
macro avg,0.4101366994005307,0.39591637348494774,0.3521260237014787,2702.0,ps_Entry/Exit_sma,Logistic Regression
weighted avg,0.4099416898489864,0.40044411547002223,0.35541467113224273,2702.0,ps_Entry/Exit_sma,Logistic Regression
-1.0,0.4509433962264151,0.26206140350877194,0.3314840499306519,912.0,ps_Entry/Exit_ema,Naive Bayes
0.0,0.501734906315059,0.8197278911564626,0.6224709427464487,882.0,ps_Entry/Exit_ema,Naive Bayes
1.0,0.13143631436314362,0.10601092896174863,0.11736237144585601,915.0,ps_Entry/Exit_ema,Naive Bayes
accuracy,0.3909191583610188,0.3909191583610188,0.3909191583610188,0.3909191583610188,ps_Entry/Exit_ema,Naive Bayes
macro avg,0.3613715389682059,0.39593340787566106,0.35710578804098553,2709.0,ps_Entry/Exit_ema,Naive Bayes
weighted avg,0.35956249256945333,0.3909191583610188,0.3539015854234332,2709.0,ps_Entry/Exit_ema,Naive Bayes
-1.0,1.0,1.0,1.0,912.0,ps_Entry/Exit_ema,Random Forest Classifier
0.0,1.0,1.0,1.0,882.0,ps_Entry/Exit_ema,Random Forest Classifier
1.0,1.0,1.0,1.0,915.0,ps_Entry/Exit_ema,Random Forest Classifier
accuracy,1.0,1.0,1.0,1.0,ps_Entry/Exit_ema,Random Forest Classifier
macro avg,1.0,1.0,1.0,2709.0,ps_Entry/Exit_ema,Random Forest Classifier
weighted avg,1.0,1.0,1.0,2709.0,ps_Entry/Exit_ema,Random Forest Classifier
-1.0,0.5089285714285714,0.625,0.561023622047244,912.0,ps_Entry/Exit_ema,Logistic Regression
0.0,0.691468253968254,0.7902494331065759,0.7375661375661375,882.0,ps_Entry/Exit_ema,Logistic Regression
1.0,0.49569707401032703,0.31475409836065577,0.3850267379679144,915.0,ps_Entry/Exit_ema,Logistic Regression
accuracy,0.5740125507567369,0.5740125507567369,0.5740125507567369,0.5740125507567369,ps_Entry/Exit_ema,Logistic Regression
macro avg,0.5653646331357175,0.5766678438224105,0.5612054991937653,2709.0,ps_Entry/Exit_ema,Logistic Regression
weighted avg,0.5638909855527156,0.5740125507567369,0.5590573428870659,2709.0,ps_Entry/Exit_ema,Logistic Regression
-1.0,0.5589254766031195,0.7041484716157205,0.6231884057971013,916.0,pfcf_Entry/Exit_sma,Naive Bayes
0.0,0.6587301587301587,0.28752886836027713,0.4003215434083601,866.0,pfcf_Entry/Exit_sma,Naive Bayes
1.0,0.5542064180398959,0.707641196013289,0.6215953307392996,903.0,pfcf_Entry/Exit_sma,Naive Bayes
accuracy,0.5709497206703911,0.5709497206703911,0.5709497206703911,0.5709497206703911,pfcf_Entry/Exit_sma,Naive Bayes
macro avg,0.5906206844577246,0.5664395119964288,0.5483684266482537,2685.0,pfcf_Entry/Exit_sma,Naive Bayes
weighted avg,0.5895286590386596,0.5709497206703911,0.5507708081785371,2685.0,pfcf_Entry/Exit_sma,Naive Bayes
-1.0,0.9978213507625272,1.0,0.9989094874591058,916.0,pfcf_Entry/Exit_sma,Random Forest Classifier
0.0,1.0,0.9976905311778291,0.9988439306358381,866.0,pfcf_Entry/Exit_sma,Random Forest Classifier
1.0,1.0,1.0,1.0,903.0,pfcf_Entry/Exit_sma,Random Forest Classifier
accuracy,0.9992551210428305,0.9992551210428305,0.9992551210428305,0.9992551210428305,pfcf_Entry/Exit_sma,Random Forest Classifier
macro avg,0.9992737835875091,0.9992301770592764,0.9992511393649813,2685.0,pfcf_Entry/Exit_sma,Random Forest Classifier
weighted avg,0.9992567438728026,0.9992551210428305,0.9992550966268815,2685.0,pfcf_Entry/Exit_sma,Random Forest Classifier
-1.0,0.5180722891566265,0.7041484716157205,0.5969458583988895,916.0,pfcf_Entry/Exit_sma,Logistic Regression
0.0,0.37966101694915255,0.12933025404157045,0.19293712316968134,866.0,pfcf_Entry/Exit_sma,Logistic Regression
1.0,0.5580786026200873,0.707641196013289,0.6240234375,903.0,pfcf_Entry/Exit_sma,Logistic Regression
accuracy,0.5199255121042831,0.5199255121042831,0.5199255121042831,0.5199255121042831,pfcf_Entry/Exit_sma,Logistic Regression
macro avg,0.48527063624195543,0.51370664055686,0.4713021396895236,2685.0,pfcf_Entry/Exit_sma,Logistic Regression
weighted avg,0.4868847805256517,0.5199255121042831,0.4757464130431384,2685.0,pfcf_Entry/Exit_sma,Logistic Regression
-1.0,0.43832335329341315,0.40757238307349664,0.42238892094633584,898.0,pfcf_Entry/Exit_ema,Naive Bayes
0.0,0.42311886586695746,0.45274212368728123,0.4374295377677565,857.0,pfcf_Entry/Exit_ema,Naive Bayes
1.0,0.32737430167597764,0.32847533632286996,0.3279238947957471,892.0,pfcf_Entry/Exit_ema,Naive Bayes
accuracy,0.3955421231582924,0.3955421231582924,0.3955421231582924,0.3955421231582924,pfcf_Entry/Exit_ema,Naive Bayes
macro avg,0.39627217361211603,0.39626328102788255,0.3959141178366132,2647.0,pfcf_Entry/Exit_ema,Naive Bayes
weighted avg,0.3960125109181865,0.3955421231582924,0.39542519041729635,2647.0,pfcf_Entry/Exit_ema,Naive Bayes
-1.0,0.9988876529477196,1.0,0.9994435169727323,898.0,pfcf_Entry/Exit_ema,Random Forest Classifier
0.0,1.0,0.9988331388564761,0.9994162288382954,857.0,pfcf_Entry/Exit_ema,Random Forest Classifier
1.0,1.0,1.0,1.0,892.0,pfcf_Entry/Exit_ema,Random Forest Classifier
accuracy,0.9996222138269739,0.9996222138269739,0.9996222138269739,0.9996222138269739,pfcf_Entry/Exit_ema,Random Forest Classifier
macro avg,0.99962921764924,0.999611046285492,0.9996199152703426,2647.0,pfcf_Entry/Exit_ema,Random Forest Classifier
weighted avg,0.9996226340563098,0.9996222138269739,0.999622208672434,2647.0,pfcf_Entry/Exit_ema,Random Forest Classifier
-1.0,0.4294478527607362,0.311804008908686,0.3612903225806452,898.0,pfcf_Entry/Exit_ema,Logistic Regression
0.0,0.4510532837670384,0.42473745624270715,0.4375,857.0,pfcf_Entry/Exit_ema,Logistic Regression
1.0,0.3484848484848485,0.4641255605381166,0.3980769230769231,892.0,pfcf_Entry/Exit_ema,Logistic Regression
accuracy,0.39969777106157917,0.39969777106157917,0.39969777106157917,0.39969777106157917,pfcf_Entry/Exit_ema,Logistic Regression
