,precision,recall,f1-score,support,y_variable,model
-1.0,0.3597006948156066,0.6502415458937199,0.4631796283551274,1035.0,ps_Entry/Exit_sma,Naive Bayes
0.0,0.6528189910979229,0.21379980563654033,0.32210834553440704,1029.0,ps_Entry/Exit_sma,Naive Bayes
1.0,0.3676148796498906,0.31758034026465026,0.34077079107505076,1058.0,ps_Entry/Exit_sma,Naive Bayes
accuracy,0.3936579115951313,0.3936579115951313,0.3936579115951313,0.3936579115951313,ps_Entry/Exit_sma,Naive Bayes
macro avg,0.4600448551878067,0.3938738972649702,0.3753529216548617,3122.0,ps_Entry/Exit_sma,Naive Bayes
weighted avg,0.4589934348633887,0.3936579115951313,0.3752004804163566,3122.0,ps_Entry/Exit_sma,Naive Bayes
-1.0,1.0,1.0,1.0,1035.0,ps_Entry/Exit_sma,Random Forest Classifier
0.0,1.0,1.0,1.0,1029.0,ps_Entry/Exit_sma,Random Forest Classifier
1.0,1.0,1.0,1.0,1058.0,ps_Entry/Exit_sma,Random Forest Classifier
accuracy,1.0,1.0,1.0,1.0,ps_Entry/Exit_sma,Random Forest Classifier
macro avg,1.0,1.0,1.0,3122.0,ps_Entry/Exit_sma,Random Forest Classifier
weighted avg,1.0,1.0,1.0,3122.0,ps_Entry/Exit_sma,Random Forest Classifier
-1.0,0.2532588454376164,0.13140096618357489,0.17302798982188297,1035.0,ps_Entry/Exit_sma,Logistic Regression
0.0,0.2863602110022607,0.369290573372206,0.32258064516129026,1029.0,ps_Entry/Exit_sma,Logistic Regression
1.0,0.2591414944356121,0.30812854442344045,0.2815198618307426,1058.0,ps_Entry/Exit_sma,Logistic Regression
accuracy,0.2696989109545163,0.2696989109545163,0.2696989109545163,0.2696989109545163,ps_Entry/Exit_sma,Logistic Regression
macro avg,0.26625351695849636,0.26960669465974046,0.25904283227130526,3122.0,ps_Entry/Exit_sma,Logistic Regression
weighted avg,0.2661624802248997,0.2696989109545163,0.25908631234898855,3122.0,ps_Entry/Exit_sma,Logistic Regression
-1.0,0.3972911963882618,0.5106382978723404,0.4468895471857807,1034.0,ps_Entry/Exit_ema,Naive Bayes
0.0,0.31809145129224653,0.15732546705998032,0.21052631578947364,1017.0,ps_Entry/Exit_ema,Naive Bayes
1.0,0.3565830721003135,0.4304635761589404,0.39005572224603513,1057.0,ps_Entry/Exit_ema,Naive Bayes
accuracy,0.36776061776061775,0.36776061776061775,0.36776061776061775,0.36776061776061775,ps_Entry/Exit_ema,Naive Bayes
macro avg,0.35732190659360724,0.36614244703042037,0.34915719507376314,3108.0,ps_Entry/Exit_ema,Naive Bayes
weighted avg,0.35753102002564635,0.36776061776061775,0.35021813171237165,3108.0,ps_Entry/Exit_ema,Naive Bayes
-1.0,1.0,1.0,1.0,1034.0,ps_Entry/Exit_ema,Random Forest Classifier
0.0,1.0,1.0,1.0,1017.0,ps_Entry/Exit_ema,Random Forest Classifier
1.0,1.0,1.0,1.0,1057.0,ps_Entry/Exit_ema,Random Forest Classifier
accuracy,1.0,1.0,1.0,1.0,ps_Entry/Exit_ema,Random Forest Classifier
macro avg,1.0,1.0,1.0,3108.0,ps_Entry/Exit_ema,Random Forest Classifier
weighted avg,1.0,1.0,1.0,3108.0,ps_Entry/Exit_ema,Random Forest Classifier
-1.0,0.31756756756756754,0.22727272727272727,0.26493799323562567,1034.0,ps_Entry/Exit_ema,Logistic Regression
0.0,0.3456998313659359,0.4031465093411996,0.37221970040853386,1017.0,ps_Entry/Exit_ema,Logistic Regression
1.0,0.31387478849407785,0.3509933774834437,0.33139794551138907,1057.0,ps_Entry/Exit_ema,Logistic Regression
accuracy,0.3268983268983269,0.3268983268983269,0.3268983268983269,0.3268983268983269,ps_Entry/Exit_ema,Logistic Regression
macro avg,0.3257140624758604,0.3271375380324569,0.3228518797185162,3108.0,ps_Entry/Exit_ema,Logistic Regression
weighted avg,0.3255171315322593,0.3268983268983269,0.3226450928978939,3108.0,ps_Entry/Exit_ema,Logistic Regression
-1.0,0.44273832373640437,0.6711930164888458,0.5335389360061681,1031.0,pfcf_Entry/Exit_sma,Naive Bayes
0.0,0.6888045540796964,0.3558823529411765,0.46929541047188106,1020.0,pfcf_Entry/Exit_sma,Naive Bayes
1.0,0.36345776031434185,0.3500473036896878,0.35662650602409635,1057.0,pfcf_Entry/Exit_sma,Naive Bayes
accuracy,0.4584942084942085,0.4584942084942085,0.4584942084942085,0.4584942084942085,pfcf_Entry/Exit_sma,Naive Bayes
macro avg,0.49833354604348085,0.45904089103990336,0.45315361750071514,3108.0,pfcf_Entry/Exit_sma,Naive Bayes
weighted avg,0.49653111634034186,0.4584942084942085,0.45228898924425603,3108.0,pfcf_Entry/Exit_sma,Naive Bayes
-1.0,0.999031007751938,1.0,0.9995152690256908,1031.0,pfcf_Entry/Exit_sma,Random Forest Classifier
0.0,1.0,0.9990196078431373,0.9995095635115253,1020.0,pfcf_Entry/Exit_sma,Random Forest Classifier
1.0,1.0,1.0,1.0,1057.0,pfcf_Entry/Exit_sma,Random Forest Classifier
accuracy,0.9996782496782497,0.9996782496782497,0.9996782496782497,0.9996782496782497,pfcf_Entry/Exit_sma,Random Forest Classifier
macro avg,0.9996770025839794,0.9996732026143791,0.999674944179072,3108.0,pfcf_Entry/Exit_sma,Random Forest Classifier
weighted avg,0.9996785614518173,0.9996782496782497,0.9996782487603741,3108.0,pfcf_Entry/Exit_sma,Random Forest Classifier
-1.0,0.35354573484069884,0.33365664403491757,0.34331337325349304,1031.0,pfcf_Entry/Exit_sma,Logistic Regression
0.0,0.34005563282336576,0.47941176470588237,0.39788445890968266,1020.0,pfcf_Entry/Exit_sma,Logistic Regression
1.0,0.4031563845050215,0.26584673604541154,0.3204104903078678,1057.0,pfcf_Entry/Exit_sma,Logistic Regression
accuracy,0.3584298584298584,0.3584298584298584,0.3584298584298584,0.3584298584298584,pfcf_Entry/Exit_sma,Logistic Regression
macro avg,0.36558591738969537,0.35963838159540384,0.35386944082368116,3108.0,pfcf_Entry/Exit_sma,Logistic Regression
weighted avg,0.36599057159665416,0.3584298584298584,0.3534337593846988,3108.0,pfcf_Entry/Exit_sma,Logistic Regression
-1.0,0.4234413965087282,0.8108882521489972,0.5563564875491481,1047.0,pfcf_Entry/Exit_ema,Naive Bayes
0.0,0.43130990415335463,0.2649656526005888,0.3282674772036474,1019.0,pfcf_Entry/Exit_ema,Naive Bayes
1.0,0.5615866388308977,0.25766283524904215,0.3532501641497045,1044.0,pfcf_Entry/Exit_ema,Naive Bayes
accuracy,0.44630225080385855,0.44630225080385855,0.44630225080385855,0.44630225080385855,pfcf_Entry/Exit_ema,Naive Bayes
macro avg,0.47211264649766016,0.4445055799995427,0.4126247096341667,3110.0,pfcf_Entry/Exit_ema,Naive Bayes
weighted avg,0.4723936930599241,0.44630225080385855,0.4134414704523364,3110.0,pfcf_Entry/Exit_ema,Naive Bayes
-1.0,1.0,1.0,1.0,1047.0,pfcf_Entry/Exit_ema,Random Forest Classifier
0.0,1.0,1.0,1.0,1019.0,pfcf_Entry/Exit_ema,Random Forest Classifier
1.0,1.0,1.0,1.0,1044.0,pfcf_Entry/Exit_ema,Random Forest Classifier
accuracy,1.0,1.0,1.0,1.0,pfcf_Entry/Exit_ema,Random Forest Classifier
macro avg,1.0,1.0,1.0,3110.0,pfcf_Entry/Exit_ema,Random Forest Classifier
weighted avg,1.0,1.0,1.0,3110.0,pfcf_Entry/Exit_ema,Random Forest Classifier
-1.0,0.0,0.0,0.0,1047.0,pfcf_Entry/Exit_ema,Logistic Regression
0.0,0.3109418282548476,0.44062806673209026,0.3645960211124645,1019.0,pfcf_Entry/Exit_ema,Logistic Regression
1.0,0.3469545104086353,0.43103448275862066,0.38445108927808624,1044.0,pfcf_Entry/Exit_ema,Logistic Regression
accuracy,0.28906752411575565,0.28906752411575565,0.28906752411575565,0.28906752411575565,pfcf_Entry/Exit_ema,Logistic Regression
macro avg,0.21929877955449428,0.2905541831635703,0.24968237013018357,3110.0,pfcf_Entry/Exit_ema,Logistic Regression
weighted avg,0.21835055686762217,0.28906752411575565,0.24851777579418757,3110.0,pfcf_Entry/Exit_ema,Logistic Regression
-1.0,0.6865828092243187,0.6298076923076923,0.6569709127382146,1040.0,pe_Entry/Exit_sma,Naive Bayes
0.0,0.5238744884038199,0.3735408560311284,0.43611584327086883,1028.0,pe_Entry/Exit_sma,Naive Bayes
1.0,0.41057759220598466,0.5587121212121212,0.4733253108704372,1056.0,pe_Entry/Exit_sma,Naive Bayes
accuracy,0.5214468629961587,0.5214468629961587,0.5214468629961587,0.5214468629961587,pe_Entry/Exit_sma,Naive Bayes
macro avg,0.540344963278041,0.520686889850314,0.5221373556265069,3124.0,pe_Entry/Exit_sma,Naive Bayes
weighted avg,0.5397436085281492,0.5214468629961587,0.5222177863026178,3124.0,pe_Entry/Exit_sma,Naive Bayes
-1.0,1.0,1.0,1.0,1040.0,pe_Entry/Exit_sma,Random Forest Classifier
0.0,1.0,1.0,1.0,1028.0,pe_Entry/Exit_sma,Random Forest Classifier
1.0,1.0,1.0,1.0,1056.0,pe_Entry/Exit_sma,Random Forest Classifier
accuracy,1.0,1.0,1.0,1.0,pe_Entry/Exit_sma,Random Forest Classifier
macro avg,1.0,1.0,1.0,3124.0,pe_Entry/Exit_sma,Random Forest Classifier
weighted avg,1.0,1.0,1.0,3124.0,pe_Entry/Exit_sma,Random Forest Classifier
-1.0,0.6198830409356725,0.5096153846153846,0.5593667546174143,1040.0,pe_Entry/Exit_sma,Logistic Regression
0.0,0.4120065789473684,0.48735408560311283,0.446524064171123,1028.0,pe_Entry/Exit_sma,Logistic Regression
1.0,0.4491927825261159,0.4479166666666667,0.4485538169748696,1056.0,pe_Entry/Exit_sma,Logistic Regression
accuracy,0.4814340588988476,0.4814340588988476,0.4814340588988476,0.4814340588988476,pe_Entry/Exit_sma,Logistic Regression
macro avg,0.49369413413638563,0.4816287122950547,0.4848148785878023,3124.0,pe_Entry/Exit_sma,Logistic Regression
weighted avg,0.4937799949035123,0.4814340588988476,0.4847762463173776,3124.0,pe_Entry/Exit_sma,Logistic Regression
-1.0,0.22116689280868385,0.31650485436893205,0.26038338658146964,1030.0,pe_Entry/Exit_ema,Naive Bayes
0.0,0.3986135181975737,0.22395326192794549,0.286783042394015,1027.0,pe_Entry/Exit_ema,Naive Bayes
1.0,0.19550982226379796,0.19661335841956726,0.1960600375234522,1063.0,pe_Entry/Exit_ema,Naive Bayes
accuracy,0.24519230769230768,0.24519230769230768,0.24519230769230768,0.24519230769230768,pe_Entry/Exit_ema,Naive Bayes
macro avg,0.2717634110900185,0.24569049157214828,0.2477421554996456,3120.0,pe_Entry/Exit_ema,Naive Bayes
weighted avg,0.2708349114898301,0.24519230769230768,0.24715797839903741,3120.0,pe_Entry/Exit_ema,Naive Bayes
-1.0,1.0,1.0,1.0,1030.0,pe_Entry/Exit_ema,Random Forest Classifier
0.0,1.0,1.0,1.0,1027.0,pe_Entry/Exit_ema,Random Forest Classifier
1.0,1.0,1.0,1.0,1063.0,pe_Entry/Exit_ema,Random Forest Classifier
accuracy,1.0,1.0,1.0,1.0,pe_Entry/Exit_ema,Random Forest Classifier
macro avg,1.0,1.0,1.0,3120.0,pe_Entry/Exit_ema,Random Forest Classifier
weighted avg,1.0,1.0,1.0,3120.0,pe_Entry/Exit_ema,Random Forest Classifier
-1.0,0.31732418524871353,0.3592233009708738,0.33697632058287796,1030.0,pe_Entry/Exit_ema,Logistic Regression
0.0,0.26965065502183405,0.24050632911392406,0.2542460113226969,1027.0,pe_Entry/Exit_ema,Logistic Regression
