Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,PG,PG,PG,PG,PG,PG,MMM,MMM,MMM,MMM,MMM,MMM
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,50.82849884033203,52.61600112915039,50.785499572753906,52.29249954223633,52.29249954223633,30652000,32.65999984741211,34.619998931884766,32.51250076293945,34.05500030517578,33.78889083862305,50875200,91.02999877929688,91.38999938964844,89.93000030517578,91.27999877929688,79.92347717285156,9843900,157.04013061523438,159.6906280517578,156.1036834716797,159.65719604492188,123.03156280517578,2960339
2019-01-03,52.04999923706055,52.8489990234375,50.70349884033203,50.803001403808594,50.803001403808594,36822000,33.4474983215332,33.790000915527344,31.922500610351562,31.997499465942383,31.747465133666992,70555200,90.94000244140625,92.5,90.37999725341797,90.63999938964844,79.36309814453125,9820200,157.42474365234375,157.42474365234375,152.91806030273438,153.64549255371094,118.39895629882812,4016407
2019-01-04,51.62950134277344,53.54199981689453,51.37089920043945,53.535499572753906,53.535499572753906,41878000,32.73500061035156,34.432498931884766,32.42499923706055,34.04750061035156,33.78145217895508,58562000,90.83999633789062,92.48999786376953,90.37000274658203,92.48999786376953,80.98295593261719,10565700,156.14549255371094,160.51840209960938,155.54347229003906,159.966552734375,123.26995086669922,3582140
2019-01-07,53.57500076293945,53.70000076293945,52.737998962402344,53.419498443603516,53.419498443603516,39638000,34.625,36.22249984741211,34.10749816894531,35.849998474121094,35.56985855102539,70916000,91.91000366210938,92.5,91.4000015258789,92.12000274658203,80.65898895263672,9012500,160.0,160.78594970703125,157.7424774169922,159.59866333007812,122.98648071289062,2585991
2019-01-08,53.80550003051758,54.22800064086914,53.0265007019043,53.81399917602539,53.81399917602539,35298000,36.67250061035156,36.69499969482422,34.224998474121094,34.95750045776367,34.684349060058594,78601600,92.69999694824219,93.08999633789062,91.81999969482422,92.45999908447266,80.9566650390625,9551300,161.37123107910156,162.29933166503906,158.51170349121094,160.26756286621094,123.50189971923828,2965841
2019-01-09,54.08250045776367,54.131500244140625,53.31999969482422,53.733001708984375,53.733001708984375,23986000,35.474998474121094,36.122501373291016,34.96500015258789,35.64500045776367,35.36647033691406,61726000,92.69000244140625,92.95999908447266,90.80999755859375,90.94999694824219,79.63453674316406,15015600,161.58026123046875,162.15719604492188,160.0167236328125,160.78594970703125,123.90135955810547,2587666
2019-01-10,53.382999420166016,53.557498931884766,52.885501861572266,53.51649856567383,53.51649856567383,29128000,35.45000076293945,36.39500045776367,34.84000015258789,36.307498931884766,36.0237922668457,52315600,90.88999938964844,91.54000091552734,90.61000061035156,91.16999816894531,79.8271713256836,11102300,159.59030151367188,162.04849243164062,158.3612060546875,161.87290954589844,124.7389907836914,2319403
2019-01-11,53.159000396728516,53.188751220703125,52.42399978637695,52.859500885009766,52.859500885009766,30416000,36.08250045776367,37.4375,35.8025016784668,37.20750045776367,36.91676330566406,87476400,91.66999816894531,91.9800033569336,91.11000061035156,91.7699966430664,80.3525161743164,7166600,160.40133666992188,161.11204528808594,159.58193969726562,160.71070861816406,123.84341430664062,2822440
