"Date","GOOGL P/S (LTM)","MMM P/S (LTM)","NVDA P/S (LTM)","PG P/S (LTM)","GOOGL Open","GOOGL Low","GOOGL High","GOOGL Close","GOOGL Adj. Close","MMM Open","MMM Low","MMM High","MMM Close","MMM Adj. Close","NVDA Open","NVDA Low","NVDA High","NVDA Close","NVDA Adj. Close","PG Open","PG Low","PG High","PG Close","PG Adj. Close","GOOGL P/FCF (LTM)","MMM P/FCF (LTM)","NVDA P/FCF (LTM)","NVDA P/FCF (LTM)","PG P/FCF (LTM)","GOOGL P/E (LTM)","MMM P/E (LTM)","NVDA P/E (LTM)","PG P/E (LTM)","GOOGL Debt/Equity (LTM)","MMM Debt/Equity (LTM)","NVDA Debt/Equity (LTM)","PG Debt/Equity (LTM)"
11-13-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,11.8725,11.8535,12.02925,12.02575,12.02575,38.776265553675,38.67325460154,39.129445960995,79.5,38.99700330825,5.275484614535854,5.274720468075,5.519344573873207,6,5.5040561406,38.86449226415,38.48663456924999,38.87668122205,63.25,38.54757935875,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
11-14-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.0175,12.0125,12.24875,12.2325,12.2325,38.99700330825,38.67325460154,39.3403731487,80.09,39.286415030915,5.484180076533604,5.366454737085,5.569798421828707,6.06,5.559096702005999,38.5049180061,38.2367609323,38.63290206405,63.2,38.517106964,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
11-15-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.33575,12.29825,12.49625,12.29825,12.29825,39.163782945040005,39.163782945040005,39.80146979159,80.71,39.590542603885,5.542278141125707,5.436799326589938,5.6187239768625,5.96,5.467362432996,38.4683511324,38.3830284271,38.68165789565,63.12,38.4683511324,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
11-16-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.375,12.314,12.442,12.3975,12.3975,39.364899565875,39.306036164655,39.70336412289,80.29,39.384520699615,5.490296000248501,5.442899655479104,5.557567491741604,6.036666,5.537691427675207,38.55976831665,38.395217385,38.88887017995,63.52,38.7121302904,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
11-17-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.33125,12.325,12.4915,12.46975,12.46975,39.482626368315,39.36980484931001,40.10069208112501,81.4,39.92900716090001,5.4994694271495,5.465833222731603,5.568270128907001,6.053333,5.552980778291103,38.6999413325,38.5780517535,38.92543705364999,63.86,38.9193425747,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
11-20-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.46,12.31625,12.46,12.37625,12.37625,39.92900716090001,39.649406005105,39.97805999525,81.38,39.91919659403,5.484180076533604,5.442899655479104,5.635541620400104,6.11,5.604963836511001,38.9437204905,38.77916955885,38.98638184315,63.69,38.81573643255,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
11-21-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.4135,12.39575,12.75,12.74125,12.74125,39.919196596972,39.76133521646,40.427312915495,81.64,40.274384703124,5.621781480048603,5.479593363083104,5.630954906949603,6.015,5.5178162809515,38.66946893775,38.5536738377,38.82792539045,63.26,38.5536738377,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
11-22-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.77425,12.6445,12.825,12.70025,12.70025,40.25465203056,39.889597588126,40.338515888957,81.47,40.190520844727,5.537691427675207,5.5086428540505,5.6187239768625,6.118333,5.612608053147604,38.55976831665,38.4317842587,38.7852640378,63.64,38.7852640378,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
11-24-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.6125,12.6,12.6875,12.625,12.625,39.889597588126,39.835332738575,40.20532034915,81.15,40.032659464215,5.585087772444604,5.534633924489103,5.666119404289207,6.163333,5.653888474202104,38.7852640378,38.638996543,38.8462088273,63.53,38.71822476935,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
11-27-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.53425,12.11875,12.5445,12.11875,12.11875,40.00799362351,39.494944136846,40.032659464215,80.23,39.57880799524301,5.620252269784207,5.360338813370103,5.695168895256603,5.885,5.3985617312385,38.49882352715,38.10877687435,38.60852414825,62.84,38.2977057218,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
11-28-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.027375,11.92575,12.2465,12.2375,12.2375,39.41601344659,39.342015924475,39.81066689787,80.41,39.667605021781,5.3802148774365,5.296124825063104,5.548394064840604,5.995,5.4994694271495,38.2123830165,37.96250937955,38.6146186272,63.07,38.43787873765,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
11-29-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.356,12.05625,12.3685,12.11625,12.11625,39.76133521646,39.721869871332,40.05732530492,80.98,39.948795605818,5.549923275105,5.528518000774207,5.647772550487207,6.083333,5.580501058994103,38.36474499025,38.14534374805,38.5414848798,63.21,38.52320144295,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
11-30-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.10475,12.03875,12.26,12.12025,12.12025,39.899463924408,39.746535712036994,40.35331539338,81.46,40.185587676586,5.580501058994103,5.513229567501,5.7012848189715,6.165,5.6554176844665,38.4195953008,38.10877687435,38.5414848798,62.79,38.26723332705,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
12-01-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.1495,11.9625,12.20975,12.02,12.02,40.229986189855,38.932562968772,40.229986189855,79.98,39.455478791718,5.592731989081207,5.384801590887,5.6003771230605,5.923333,5.433726228578104,38.40131186395,37.91375354795,38.4561621745,62.69,38.20628853755,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
12-04-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.075,11.98375,12.18575,12.12125,12.12125,39.672538189922,39.47027829614101,40.101723818189,80.89,39.904397092549,5.5040561406,5.484180076533604,5.724218386224,6.163333,5.653888474202104,38.4439732166,38.24285541125,38.73041372725,63.42,38.6511855009,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
12-05-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.185,12.12225,12.236,12.175,12.175,39.29268424306501,39.29268424306501,39.983327782805,80.56,39.741602543896,5.594261199345604,5.533104714224707,5.6278974037635,6.1,5.59579040961,38.6511855009,38.5780517535,38.9802873642,63.51,38.70603581144999,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
12-06-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.174,12.113,12.31,12.21775,12.21775,39.736669375755,39.31735008377,39.790934225306,79.8,39.36668176518,5.614137263412,5.511700357236604,5.614137263412,6.091666,5.588145275630707,38.74260268515,38.57195727455,38.88887017995,63.8,38.88277570099999,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
12-07-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.25575,12.0605,12.295,12.066,12.066,39.351882260757,39.060825340438,39.450545623577,79.56,39.248285729796,5.588145275630707,5.404676737610707,5.6187239768625,5.945,5.453602292644501,38.97419288525,38.8096419536,39.0290431958,63.8,38.88277570099999,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
12-08-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.0485,12,12.215,12.10275,12.10275,38.833899605952,38.158055570635,38.833899605952,78.56,38.754968915696,5.4138501645117065,5.335876035853207,5.510171146972207,5.925,5.4352554388425,38.8218309115,38.74260268515,39.1143659011,63.89,38.93762601155,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
12-11-2006,Data Restricted,Data Restricted,Data Restricted,Data Restricted,12.123,12.095,12.2225,12.09825,12.09825,38.853632278516,38.523110013069,39.075624844861,78.85,38.898030791785,5.436783731764207,5.424552801677104,5.594261199345604,6.026666,5.528518000774207,38.8218309115,38.760886122,39.02294871685,63.87,38.92543705364999,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,,,,
