Date,NVDA Adj. Close,Signal,Signal_ema,Signal_sma30,Signal_ema30,Entry/Exit,Entry/Exit_ema,Entry/Exit_sma30,Entry/Exit_ema30,Position,Position_ema,Position_sma30,Position_ema30,Entry/Exit Position,Entry/Exit Position_ema,Entry/Exit Position_sma30,Entry/Exit Position_ema30,Portfolio Holdings,Portfolio Holdings_ema,Portfolio Holdings_sma30,Portfolio Holdings_ema30,Portfolio Cash,Portfolio Cash_ema,Portfolio Cash_sma30,Portfolio Cash_ema30,Ticker Total,Ticker Total_ema,Ticker Total_sma30,Ticker Total_ema30,Daily Returns,Daily Returns_ema,Daily Returns_sma30,Daily Returns_ema30,Cumulative Returns,Cumulative Returns_ema,Cumulative Returns_sma30,Cumulative Returns_ema30
2019-01-02,33.788894938344,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2019-01-03,31.747472200548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,,,,,,,,
2019-01-04,33.781453543188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-07,35.56986884568,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,17784.93442284,0.0,17784.93442284,100000.0,82215.06557716,100000.0,82215.06557716,100000.0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-08,34.684342822116,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,17342.171411058,0.0,17342.171411058,100000.0,82215.06557716,100000.0,82215.06557716,100000.0,99557.236988218,100000.0,99557.236988218,0.0,-0.004427630117819881,0.0,-0.004427630117819881,0.0,-0.004427630117819881,0.0,-0.004427630117819881
2019-01-09,35.366470711416,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,17683.235355708,0.0,17683.235355708,100000.0,82215.06557716,100000.0,82215.06557716,100000.0,99898.300932868,100000.0,99898.300932868,0.0,0.003425807655653923,0.0,0.003425807655653923,0.0,-0.001016990671319995,0.0,-0.001016990671319995
2019-01-10,36.023793950195994,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,18011.896975097996,0.0,18011.896975097996,100000.0,82215.06557716,100000.0,82215.06557716,100000.0,100226.96255225799,100000.0,100226.96255225799,0.0,0.0032899620546182895,0.0,0.0032899620546182895,0.0,0.00226962552257981,0.0,0.00226962552257981
2019-01-11,36.916761368916,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,18458.380684458,0.0,18458.380684458,100000.0,82215.06557716,100000.0,82215.06557716,100000.0,100673.446261618,100000.0,100673.446261618,0.0,0.004454726532565623,0.0,0.004454726532565623,0.0,0.006734462616179826,0.0,0.006734462616179826
2019-01-14,37.316116242288,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,18658.058121143997,0.0,18658.058121143997,100000.0,82215.06557716,100000.0,82215.06557716,100000.0,100873.123698304,100000.0,100873.123698304,0.0,0.001983417118423647,0.0,0.001983417118423647,0.0,0.00873123698303968,0.0,0.00873123698303968
2019-01-15,37.174729734324,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,18587.364867162003,0.0,18587.364867162003,100000.0,82215.06557716,100000.0,82215.06557716,100000.0,100802.430444322,100000.0,100802.430444322,0.0,-0.000700813570455372,0.0,-0.000700813570455372,0.0,0.008024304443219776,0.0,0.008024304443219776
