Date,PG Adj. Close,Signal,Signal_ema,Signal_sma30,Signal_ema30,Entry/Exit,Entry/Exit_ema,Entry/Exit_sma30,Entry/Exit_ema30,Position,Position_ema,Position_sma30,Position_ema30,Entry/Exit Position,Entry/Exit Position_ema,Entry/Exit Position_sma30,Entry/Exit Position_ema30,Portfolio Holdings,Portfolio Holdings_ema,Portfolio Holdings_sma30,Portfolio Holdings_ema30,Portfolio Cash,Portfolio Cash_ema,Portfolio Cash_sma30,Portfolio Cash_ema30,Ticker Total,Ticker Total_ema,Ticker Total_sma30,Ticker Total_ema30,Daily Returns,Daily Returns_ema,Daily Returns_sma30,Daily Returns_ema30,Cumulative Returns,Cumulative Returns_ema,Cumulative Returns_sma30,Cumulative Returns_ema30
2019-01-02,79.924749488416,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2019-01-03,79.364365618208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,,,,,,,,
2019-01-04,80.98422524302799,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,40492.112621513996,0.0,40492.112621513996,100000.0,59507.887378486004,100000.0,59507.887378486004,100000.0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-07,80.66025331806401,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,40330.126659032,0.0,40330.126659032,100000.0,59507.887378486004,100000.0,59507.887378486004,100000.0,99838.014037518,100000.0,99838.014037518,0.0,-0.0016198596248199193,0.0,-0.0016198596248199193,0.0,-0.0016198596248199193,0.0,-0.0016198596248199193
2019-01-08,80.957957249112,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,40478.978624556,0.0,40478.978624556,100000.0,59507.887378486004,100000.0,59507.887378486004,100000.0,99986.866003042,100000.0,99986.866003042,0.0,0.0014909347602614087,0.0,0.0014909347602614087,0.0,-0.00013133996957992444,0.0,-0.00013133996957992444
2019-01-09,79.63580155534001,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,39817.90077767,0.0,39817.90077767,100000.0,59507.887378486004,100000.0,59507.887378486004,100000.0,99325.788156156,100000.0,99325.788156156,0.0,-0.006611646842355046,0.0,-0.006611646842355046,0.0,-0.006742118438439859,0.0,-0.006742118438439859
2019-01-10,79.82843351072401,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,39914.216755362,0.0,39914.216755362,100000.0,59507.887378486004,100000.0,59507.887378486004,100000.0,99422.10413384801,100000.0,99422.10413384801,0.0,0.0009696975929411877,0.0,0.0009696975929411877,0.0,-0.005778958661519784,0.0,-0.005778958661519784
2019-01-11,80.353793389044,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,40176.896694522,0.0,40176.896694522,100000.0,59507.887378486004,100000.0,59507.887378486004,100000.0,99684.784073008,100000.0,99684.784073008,0.0,0.0026420677921517033,0.0,0.0026420677921517033,0.0,-0.003152159269919852,0.0,-0.003152159269919852
2019-01-14,79.81092151478,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,39905.46075739,0.0,39905.46075739,100000.0,59507.887378486004,100000.0,59507.887378486004,100000.0,99413.348135876,100000.0,99413.348135876,0.0,-0.0027229425198253,0.0,-0.0027229425198253,0.0,-0.005866518641239771,0.0,-0.005866518641239771
2019-01-15,80.56393734037201,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,40281.968670186005,0.0,40281.968670186005,100000.0,59507.887378486004,100000.0,59507.887378486004,100000.0,99789.85604867201,100000.0,99789.85604867201,0.0,0.0037872973786317043,0.0,0.0037872973786317043,0.0,-0.0021014395132796793,0.0,-0.0021014395132796793
